0	6667	24
1	3525	26
2	2472	27
3	1944	28
4	1628	30
5	1416	31
6	1263	33
7	1148	34
8	1047	35
9	977	37
10	919	38
11	870	40
12	829	41
13	794	42
14	762	44
15	735	45
16	732	48
17	716	50
18	697	52
19	678	53
20	660	55
21	645	56
22	630	57
23	617	59
24	604	60
25	593	62
26	582	63
27	572	65
28	562	66
29	554	68
30	546	69
31	537	71
32	530	72
33	522	74
34	515	75
35	508	77
36	502	78
37	495	80
38	489	81
39	484	83
40	478	84
41	472	85
42	467	87
43	462	88
44	457	90
45	452	91
46	448	93
47	443	94
48	439	96
49	435	97
50	431	99
51	427	100
52	423	101
53	419	103
54	415	104
55	411	106
56	408	107
57	404	109
58	401	110
59	397	112
60	394	113
61	391	114
62	387	116
63	384	117
64	381	119
65	378	120
66	375	122
67	372	123
68	369	125
69	366	126
70	364	127
71	361	129
72	358	130
73	355	132
74	353	133
75	350	135
76	347	136
77	345	138
78	342	139
79	340	140
80	337	142
81	335	143
82	332	145
83	330	146
84	331	149
85	330	152
86	328	153
87	325	155
88	323	156
89	321	157
90	318	159
91	316	160
92	314	162
93	311	163
94	309	165
95	307	166
96	305	168
97	303	169
98	301	171
99	298	172
100	296	174
101	294	175
102	292	177
103	290	178
104	288	180
105	286	181
106	283	183
107	281	184
108	279	185
109	277	187
110	275	188
111	273	190
112	271	191
113	269	193
114	267	194
115	265	196
116	263	197
117	261	198
118	259	200
119	257	201
120	255	203
121	253	204
122	251	206
123	249	207
124	247	209
125	245	210
126	243	211
127	241	213
128	239	214
129	237	216
130	235	217
131	234	219
132	232	220
133	230	222
134	228	223
135	226	225
136	224	226
137	222	227
138	221	229
139	219	230
140	217	232
141	215	233
142	213	235
143	211	236
144	210	238
145	208	239
146	206	240
147	204	242
148	202	243
149	201	245
150	199	246
151	198	249
152	196	250
153	195	252
154	193	254
155	191	255
156	190	257
157	188	258
158	186	260
159	184	261
160	183	263
161	181	264
162	179	266
163	177	267
164	176	269
165	174	270
166	172	271
167	170	273
168	169	274
169	167	276
170	165	277
171	163	279
172	162	280
173	160	282
174	158	283
175	157	285
176	155	286
177	153	288
178	152	289
179	150	291
180	148	292
181	147	294
182	145	295
183	143	297
184	142	298
185	140	300
186	138	301
187	136	302
188	135	304
189	133	305
190	131	307
191	130	308
192	128	310
193	126	311
194	125	312
195	123	314
196	121	315
197	120	317
198	118	318
199	116	320
200	115	321
201	113	323
202	111	324
203	110	325
204	108	327
205	106	328
206	105	330
207	103	331
208	101	333
209	100	334
210	98	335
211	97	337
212	95	338
213	93	340
214	92	341
215	90	343
216	88	344
217	87	346
218	85	347
219	84	348
220	82	350
221	80	352
222	79	354
223	77	355
224	76	357
225	74	358
226	72	359
227	71	361
228	69	362
229	68	364
230	66	365
231	64	367
232	63	368
233	61	370
234	60	371
235	58	373
236	56	374
237	55	375
238	53	377
239	52	378
240	50	380
241	48	381
242	47	383
243	45	384
244	44	386
245	42	387
246	40	389
247	39	390
248	37	391
249	36	393
250	34	394
251	33	396
252	31	397
253	29	399
254	28	400
255	26	402
256	25	403
257	23	405
258	21	406
259	20	407
260	18	409
261	17	410
262	15	412
263	14	413
264	12	415
265	10	416
266	9	417
267	7	419
268	6	420
269	4	422
270	3	423
271	1	425
272	0	426
