iter	RMSE
162	0.13840278
163	0.138358334
164	0.1383153674
165	0.1375905483
166	0.1374288181
167	0.1371900105
168	0.137110837
169	0.1369110369
170	0.136910329
171	0.1367178629
172	0.1363114011
173	0.136225979
174	0.1361822071
175	0.1361536341
176	0.1361005074
177	0.1360152624
178	0.1359625277
179	0.1359435269
180	0.1358418178
181	0.1358197117
182	0.1357806303
183	0.1357623671
184	0.1357451612
185	0.1357293384
186	0.1352604977
187	0.1352072789
188	0.1346311892
189	0.1346227634
190	0.1346025465
191	0.1345780212
192	0.1345619828
193	0.134537846
194	0.13450588
195	0.134502258
196	0.1341346977
197	0.1338371487
198	0.1336860984
199	0.1336232676
200	0.1330838902
201	0.1328116383
202	0.1326748451
203	0.1325433996
204	0.1325398884
205	0.132512304
206	0.1324979604
207	0.132490021
208	0.1324482707
209	0.1324152044
210	0.1323996177
211	0.1323782741
212	0.1323750005
213	0.1323702062
214	0.1323081867
215	0.1322882684
216	0.1322668169
217	0.1322147386
218	0.1322119157
219	0.1322096804
220	0.1321212433
221	0.1321208613
222	0.1318631121
223	0.1317615957
224	0.1317390324
225	0.1311671487
226	0.1311644922
227	0.1311555362
228	0.1311510279
229	0.1309995537
230	0.1309894125
231	0.13098454
232	0.130975536
233	0.1309410193
234	0.1308613059
235	0.1306306247
236	0.1306295509
237	0.1306211713
238	0.1305773447
239	0.1305037851
240	0.1303913878
241	0.1303894563
242	0.1303807351
243	0.1302323275
244	0.1302257551
245	0.1301192955
246	0.1301182296
247	0.1301028533
248	0.129647659
249	0.1296315529
250	0.1296250133
251	0.1296244857
252	0.1296140641
253	0.1296025598
254	0.129601767
255	0.1294426591
256	0.1294331613
257	0.1294136744
258	0.1294057116
259	0.1292621844
260	0.1290289919
261	0.1290248007
262	0.1288383359
263	0.128561628
264	0.1281122326
265	0.1279693256
266	0.127946613
267	0.1279465817
268	0.1277877177
269	0.1277069537
270	0.1266758667
271	0.1265448475
272	0.1264159996
273	0.1258004956
274	0.1257997173
275	0.1257925278
276	0.125743609
277	0.1256701849
278	0.1255201367
279	0.1253167128
280	0.1250178429
281	0.1249616269
282	0.1249013157
283	0.1247631357
284	0.1247594248
285	0.1247448445
286	0.1246460295
287	0.1245462912
288	0.1245267323
289	0.1245231055
290	0.1245049819
291	0.1243149791
292	0.1242705511
293	0.124103351
294	0.1239527601
295	0.1239315104
296	0.1233951603
297	0.1233428804
298	0.1231797651
299	0.1231369959
300	0.1231300281
301	0.1231296595
302	0.1230536238
303	0.1230436241
304	0.1228678622
305	0.1228671352
306	0.122679867
307	0.1224040188
308	0.1221275045
309	0.1219292469
310	0.1219230639
311	0.1215195604
312	0.1214062776
313	0.1213995494
314	0.1213507372
315	0.1213301102
316	0.1208370645
317	0.1203947222
318	0.120296315
319	0.1202888487
320	0.1202732354
321	0.1202615965
322	0.120253976
323	0.1201310271
324	0.1201040034
325	0.1200801671
326	0.1200775569
327	0.1197880826
328	0.1196262277
329	0.1196166078
330	0.1194122374
331	0.1193394163
332	0.1192681688
333	0.1192680721
334	0.1185545209
335	0.1178718355
336	0.1178311896
337	0.1173450124
338	0.1173171839
339	0.1173027876
340	0.117184171
341	0.1171792521
342	0.1171768789
343	0.1171676026
344	0.117160392
345	0.1169985553
346	0.1169173827
347	0.1169086811
348	0.1168633051
349	0.1168507213
350	0.1167578575
351	0.1167411722
352	0.1167305563
353	0.1167246658
354	0.1167020255
355	0.116699353
356	0.1166710612
357	0.1166613501
358	0.1166579103
359	0.1166527856
360	0.1165475008
361	0.116544717
362	0.1165380083
363	0.1160677745
364	0.1160660344
365	0.116064812
366	0.1160613452
367	0.1160564322
368	0.1159890391
369	0.115974259
370	0.1159729443
371	0.1159709631
372	0.1159694304
373	0.1159692362
374	0.1159680946
375	0.1159278143
376	0.1159237055
377	0.1158653249
378	0.1158517296
379	0.115694018
380	0.1156899533
381	0.1156892026
382	0.1156887993
383	0.1156864028
384	0.1156714845
385	0.1156618124
386	0.1156453094
387	0.115566078
388	0.1155639759
389	0.1155606011
390	0.11544127
391	0.1153911435
392	0.1152780206
393	0.1152772082
394	0.1152750353
395	0.115270562
396	0.1152666008
397	0.1152337879
398	0.1151186398
399	0.1151133273
400	0.1151106823
401	0.1151100874
402	0.1151071314
403	0.1151061245
404	0.1150702199
405	0.1150175468
406	0.1150015189
407	0.1149855151
408	0.1149548407
409	0.1149022839
410	0.1148687823
411	0.1148480664
412	0.114833827
413	0.1148228614
414	0.1148124604
415	0.1148118341
416	0.1147888543
417	0.1147800821
418	0.1147751942
419	0.1147750575
420	0.1145866606
421	0.1145854905
422	0.1145372083
423	0.1144020564
424	0.1142505258
425	0.1142472245
426	0.1142436382
427	0.1142291937
428	0.1141990568
429	0.1141986072
430	0.114195674
431	0.1140718743
432	0.1140716285
433	0.1140691852
434	0.1140691273
435	0.1140681136
436	0.114063157
437	0.1139884421
438	0.113937739
439	0.1139260605
440	0.1139162596
441	0.1139160997
442	0.1139156778
443	0.1139156657
444	0.1139154957
445	0.113909183
446	0.1139090689
447	0.113908746
448	0.1139083014
449	0.1132888006
450	0.1128727466
451	0.112872424
452	0.1127445565
453	0.1126957938
454	0.1126655183
455	0.1126554305
456	0.1125844382
457	0.1125843908
458	0.1125822917
459	0.1125330682
460	0.1124799044
461	0.1124689592
462	0.112461012
463	0.1124605248
464	0.1124507554
465	0.1124502528
466	0.1123958548
467	0.1123561919
468	0.1122905954
469	0.1122721713
470	0.1122634835
471	0.1122578824
472	0.1122039629
473	0.1122008504
474	0.1121873527
475	0.112131381
476	0.1121312969
477	0.1121278651
478	0.1119922862
479	0.1119919964
480	0.1119549663
481	0.1118082633
482	0.1116005761
483	0.1115986723
484	0.1115962866
485	0.1115670746
486	0.1111404226
487	0.1110382468
488	0.111030318
489	0.1108755561
490	0.1108456734
491	0.1108436281
492	0.1107084475
493	0.110705088
494	0.1106841953
495	0.1106835582
496	0.110633427
497	0.1106293917
498	0.1106274429
